checklist,checklist_id,section,section_id,checkpoint_id,checkpoint,type,unit,critical,photo_for_record,guidance
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Indoor Heads,mdl-indoor,mdl-aesthetics,Installation is neat and matches what the customer was shown during the sale,yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Wall Penetration & Condensate,mdl-penetration,mdl-sleeve,"Wall penetration sleeved, sloped down to the exterior, and sealed inside and out",yesno,,yes,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Wall Penetration & Condensate,mdl-penetration,mdl-no-framing,No structural framing cut or notched without approval,yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Wall Penetration & Condensate,mdl-penetration,mdl-drain-slope,"Condensate drain has continuous downward slope with no sags, traps, or upward runs",yesno,,yes,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Wall Penetration & Condensate,mdl-penetration,mdl-drain-test,Every head drain flow tested by pouring water into the pan,yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Wall Penetration & Condensate,mdl-penetration,mdl-drain-insulation,Condensate line insulated where it runs through unconditioned or finished space,yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Wall Penetration & Condensate,mdl-penetration,mdl-pump,"Condensate pump (where used) mounted, quiet, and wired to shut the unit down on high level",yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Wall Penetration & Condensate,mdl-penetration,mdl-termination,"Condensate terminates where it will not stain siding, ice a walkway, or dump on a foundation",yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Line Sets & Refrigerant,mdl-refrigerant,mdl-line-length,Total line length and height difference are within limits for this system,yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Line Sets & Refrigerant,mdl-refrigerant,mdl-flares,"Flares cut, deburred, and torqued to specification with a torque wrench",yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Line Sets & Refrigerant,mdl-refrigerant,mdl-no-oil,No oil residue or bubbles at any flare or joint after leak check,yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Line Sets & Refrigerant,mdl-refrigerant,mdl-vacuum,Evacuated to 500 microns or below with a documented decay test,yesno,,yes,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Line Sets & Refrigerant,mdl-refrigerant,mdl-micron-reading,Final micron reading after decay test,measurement,microns,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Line Sets & Refrigerant,mdl-refrigerant,mdl-charge,Additional charge calculated and weighed in where line length requires it,yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Line Sets & Refrigerant,mdl-refrigerant,mdl-insulation,Both lines individually insulated end to end with sealed seams,yesno,,,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Line Sets & Refrigerant,mdl-refrigerant,mdl-line-hide,"Line hide runs straight and level, sealed at penetrations, painted where specified",yesno,,,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Line Sets & Refrigerant,mdl-refrigerant,mdl-line-protection,"Line set protected from lawn equipment, foot traffic, and snow removal damage",yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Multi-Zone & Branch Box,mdl-multizone,mdl-branch-mount,"Branch box mounted level, accessible for service, and in a serviceable location",yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Multi-Zone & Branch Box,mdl-multizone,mdl-branch-drain,Branch box condensate drain installed and tested where the model requires one,yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Multi-Zone & Branch Box,mdl-multizone,mdl-zone-map,Every port labeled with the room it serves and matched to the as-built drawing,yesno,,yes,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Multi-Zone & Branch Box,mdl-multizone,mdl-zone-verify,Zone mapping physically verified by running each head one at a time,yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Multi-Zone & Branch Box,mdl-multizone,mdl-unused-ports,Unused branch box ports capped and configured per manufacturer,yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Outdoor Unit & Electrical,mdl-outdoor,mdl-outdoor-mount,"Outdoor unit level and elevated above snow line on pad, stand, or wall bracket",yesno,,yes,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Outdoor Unit & Electrical,mdl-outdoor,mdl-outdoor-clearance,Airflow and service clearances met; not boxed in by fencing or plantings,yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Outdoor Unit & Electrical,mdl-outdoor,mdl-meltwater,Defrost meltwater drains clear of the unit and any walkway,yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Outdoor Unit & Electrical,mdl-outdoor,mdl-breaker,Breaker and wire sized to the nameplate MCA and MOCP,yesno,,yes,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Outdoor Unit & Electrical,mdl-outdoor,mdl-disconnect,"Disconnect within sight, labeled, and weatherproof",yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Outdoor Unit & Electrical,mdl-outdoor,mdl-comm-wiring,"Control wiring is the specified type, correctly landed per zone, and separated from line voltage",yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Outdoor Unit & Electrical,mdl-outdoor,mdl-grounding,Equipment grounded and bonded per code,yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Startup & Customer Handoff,mdl-startup,mdl-heat-test,Every head run in heating and confirmed delivering warm air,yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Startup & Customer Handoff,mdl-startup,mdl-cool-test,Every head run in cooling and confirmed delivering cold air,yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Startup & Customer Handoff,mdl-startup,mdl-delta-t,Delta-T at each head (list per room),measurement,°F,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Startup & Customer Handoff,mdl-startup,mdl-leak-watch,Heads run 15+ minutes in cooling and checked for drips at pan and wall,yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Startup & Customer Handoff,mdl-startup,mdl-no-codes,No fault codes on any indoor or outdoor unit after full operation,yesno,,yes,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Startup & Customer Handoff,mdl-startup,mdl-remotes,"Remotes or wall controllers paired, batteries installed, and labeled by room",yesno,,,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Startup & Customer Handoff,mdl-startup,mdl-app,Wi-Fi interface commissioned and app access transferred to the customer,yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Startup & Customer Handoff,mdl-startup,mdl-filters,Filters clean and seated; customer shown how to remove and wash them,yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Startup & Customer Handoff,mdl-startup,mdl-usage-coaching,Customer coached on set-and-forget operation and why not to use it like a window unit,yesno,,,,Single biggest driver of customer dissatisfaction and high bills on ductless.
Quilt Ductless Heat Pump,quilt,System Design Verification,q-design,q-config,Installed configuration matches the approved Quilt system design and proposal,yesno,,yes,yes,
Quilt Ductless Heat Pump,quilt,System Design Verification,q-design,q-zone-count,Correct number of indoor Covers installed in the correct rooms,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,System Design Verification,q-design,q-capacity,Capacity matches the room-by-room load calculation,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,System Design Verification,q-design,q-serials,"Serial numbers of the outdoor unit, each Cover, and each Dial recorded",yesno,,,yes,
Quilt Ductless Heat Pump,quilt,Indoor Covers,q-covers,q-cover-mount,Mounting bracket anchored into studs or approved solid backing,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,Indoor Covers,q-covers,q-cover-level,Cover is level and set at the manufacturer-specified height and clearances,yesno,,yes,yes,
Quilt Ductless Heat Pump,quilt,Indoor Covers,q-covers,q-cover-clearance,"Clearance to ceiling, corners, and furnishings meets Quilt requirements",yesno,,,,
Quilt Ductless Heat Pump,quilt,Indoor Covers,q-covers,q-cover-airflow,"Airflow path into the room is unobstructed by drapery, shelving, or trim",yesno,,,,
Quilt Ductless Heat Pump,quilt,Indoor Covers,q-covers,q-cover-finish,"Cover seated fully with no gaps, scuffs, protective film removed, and wall finish undamaged",yesno,,,yes,
Quilt Ductless Heat Pump,quilt,Indoor Covers,q-covers,q-cover-placement-approved,Final placement was confirmed with the customer before drilling,yesno,,,,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-penetration,"Wall penetration sleeved, pitched to the exterior, and sealed weather-tight both sides",yesno,,yes,yes,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-line-spec,Line set size and length are within Quilt specification for this pairing,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-flares,"Flares cut, deburred, and torqued to Quilt specification with a torque wrench",yesno,,yes,,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-nitrogen,Nitrogen purge used during brazing where brazing was required,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-vacuum,Evacuated to 500 microns or below with a documented decay test,yesno,,yes,yes,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-micron-reading,Final micron reading after decay test,measurement,microns,,,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-leak-check,Leak check performed at every joint with no bubbles or oil residue,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-charge,"Additional charge calculated for line length, weighed in, and recorded",yesno,,,,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-insulation,Lines fully insulated with sealed seams; UV-rated protection outdoors,yesno,,,yes,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-line-cover,"Line covers run straight, sealed at penetrations, and finished to the agreed appearance",yesno,,,yes,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-condensate-slope,Condensate drain has continuous fall with no sags or traps,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-condensate-test,Condensate flow tested with water at every Cover,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,"Penetrations, Line Sets & Condensate",q-lines,q-condensate-term,"Condensate terminates clear of walkways, siding, and the foundation",yesno,,,,
Quilt Ductless Heat Pump,quilt,Outdoor Unit & Electrical,q-outdoor,q-outdoor-mount,Outdoor unit level and elevated above snow and flood level per Quilt guidance,yesno,,yes,yes,
Quilt Ductless Heat Pump,quilt,Outdoor Unit & Electrical,q-outdoor,q-outdoor-clearance,Required airflow and service clearances met on all sides,yesno,,,,
Quilt Ductless Heat Pump,quilt,Outdoor Unit & Electrical,q-outdoor,q-outdoor-isolation,Vibration isolation installed and unit secured against wind and snow load,yesno,,,,
Quilt Ductless Heat Pump,quilt,Outdoor Unit & Electrical,q-outdoor,q-meltwater,Defrost meltwater drains away and will not ice a walkway or door path,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,Outdoor Unit & Electrical,q-outdoor,q-electrical,"Circuit, breaker, and conductor sizing match the Quilt nameplate requirements",yesno,,yes,yes,
Quilt Ductless Heat Pump,quilt,Outdoor Unit & Electrical,q-outdoor,q-disconnect,"Disconnect within sight of the unit, labeled, and weatherproof",yesno,,yes,,
Quilt Ductless Heat Pump,quilt,Outdoor Unit & Electrical,q-outdoor,q-grounding,Equipment grounded and bonded per code,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,Outdoor Unit & Electrical,q-outdoor,q-comm,Communication and power wiring landed per Quilt documentation and separated as required,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,Dial Controllers,q-dial,q-dial-mount,"Each Dial mounted at the specified height, level, and securely fastened",yesno,,,,
Quilt Ductless Heat Pump,quilt,Dial Controllers,q-dial,q-dial-location,"Dial located away from direct sun, supply air, and heat-producing appliances",yesno,,yes,,A Dial reading a false room temperature will make the system look broken.
Quilt Ductless Heat Pump,quilt,Dial Controllers,q-dial,q-dial-pairing,Each Dial paired to the correct Cover and responds to input,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,Dial Controllers,q-dial,q-dial-labeling,Rooms named correctly in the system so the customer sees the names they expect,yesno,,,,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-wifi,System connected to the home Wi-Fi with a stable signal at the outdoor unit,yesno,,yes,yes,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-app-setup,"Home set up in the Quilt app with correct address, rooms, and zone names",yesno,,yes,,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-firmware,Firmware updated to current release and system reports healthy,yesno,,,yes,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-ownership,Account ownership transferred to the homeowner and their login confirmed working,yesno,,yes,,Do not leave the system under an installer account.
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-heat-test,Every zone run in heating and confirmed delivering warm air,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-cool-test,Every zone run in cooling and confirmed delivering cold air,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-delta-t,Delta-T at each Cover (list per room),measurement,°F,,,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-leak-watch,Covers run 15+ minutes in cooling and checked for condensate drips,yesno,,yes,,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-no-alerts,No alerts or faults shown in the app after full operation,yesno,,yes,yes,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-noise,Operating noise acceptable indoors and out; no rattles or resonance,yesno,,,,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-customer-app,"Customer walked through the app: scheduling, zone control, and away mode",yesno,,,,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-customer-filter,Customer shown how to remove and clean the Cover filters,yesno,,,,
Quilt Ductless Heat Pump,quilt,App Commissioning & Handoff,q-commissioning,q-customer-support,Customer told how Quilt support and our service line divide responsibility,yesno,,,,
